"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"38","What is considered the king of herbs by many cookery authors?","Basil","Parsley","Borage","Dill","Rosemary","Oregano","Tea","Lemon balm","Thyme"
"","","Moderately Negative","Slightly Negative","Moderately Possitive","Moderately Negative","Slightly Possitive","Highly Possitive","Idle","Highly Negative","Idle"
"","","","","","","","","00:00:02.1888941","",""
"","","00:00:01.0350071","","","","","","","",""
"","","","00:00:00.9264372","","","","","","",""
"","","","","00:00:01.0927141","","","","","",""
"","","","","","","","00:00:00.9801690","","",""
"","","","","","","","","","","00:00:01.6640877"
"","","","","","","","","","00:00:00.7956059",""
"","","","","","","00:00:01.0708916","","","",""
"","","","","","00:00:00.8048729","","","","",""
"","","","","","","","","00:00:00.6142157","",""
"","","","","","00:00:00.0490339","","","","",""
"","","00:00:00.7793487","","","","","","","",""
"","","","","","","00:00:00.8476210","","","",""
"","","","","","","","","","","00:00:00.7259111"
"","","","","","","","00:00:01.0750826","","",""
"","","00:00:01.0575288","","","","","","","",""
"","","","","","","00:00:00.8469961","","","",""
"","","00:00:00.4086566","","","","","","","",""
"39","Who is the writer of Adventures of Robinson Crusoe?","George Orwell","Mark Twain","Anthony Burgess","Jules Verne","Jean-Jacques Rousseau","Stephen King","Ernest Hemingway","Ray Bradbury","Daniel Defoe"
"","","Moderately Negative","Highly Negative","Moderately Possitive","Slightly Negative","Moderately Negative","Highly Possitive","Idle","Idle","Slightly Possitive"
"","","00:00:05.8597066","","","","","","","",""
"","","","","","","00:00:00.6820125","","","",""
"","","","","","","","","","","00:00:03.9756433"
"","","","","","","","00:00:00.9253961","","",""
"","","","","","","","","","","00:00:00.8230938"
"40","Which one was the first web based e-mail service?","Yandex","Gmail","GMX","FastMail","Zoho","Yahoo! Mail","Mail.com","AOL","Hotmail"
"","","Highly Negative","Moderately Possitive","Idle","Highly Possitive","Moderately Negative","Slightly Possitive","Slightly Negative","Moderately Negative","Idle"
"","","","","","","","","","00:00:08.3579981",""
"","","","","","","","","","00:00:00.1370658",""
"","","","","","","","","00:00:01.1247011","",""
"","","","","","","","","","00:00:00.9317044",""
"","","","","","","","","","","00:00:01.5315631"
