"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","Idle","Idle","Highly Possitive","Moderately Negative","Highly Negative","Moderately Possitive","Slightly Possitive","Slightly Negative","Moderately Negative"
"","","","","00:00:03.8396767","","","","","",""
"","","","00:00:00.1147803","","","","","","",""
"","","00:00:01.2187964","","","","","","","",""
"","","","00:00:00.8195336","","","","","","",""
"","","","","00:00:02.4569676","","","","","",""
"","","","","","","","00:00:02.5466963","","",""
"","","","","","","00:00:01.1060189","","","",""
"","","","","","00:00:01.8306226","","","","",""
"","","","","","","","","00:00:00.0463434","",""
"","","","","","","","","00:00:01.5416716","",""
"","","","","","","","","","00:00:00.8145416",""
"","","","","","","","","","","00:00:00.9242857"
"","","","","","","","00:00:00.6491460","","",""
"","","","","00:00:00.0458455","","","","","",""
"","","","","00:00:01.0051885","","","","","",""
"27","What is the largest country in the world?","United States","India","Canada","Brazil","Australia","Kazakhistan","Argentina","China","Russia"
"","","Idle","Slightly Possitive","Idle","Moderately Negative","Slightly Negative","Highly Negative","Moderately Negative","Moderately Possitive","Highly Possitive"
"","","","","00:00:04.0131663","","","","","",""
"","","","","","","00:00:00.1173968","","","",""
"","","","","","","","","","00:00:00.0679405",""
"","","","","","","","","","","00:00:00.9157791"
"28","Which Space Shuttle broke apart 73 seconds into its flight on January 28, 1986?","Enterprise","Opportunity","Endeavour","Spirit","Curiosity","Colombia","Challenger","Discovery","Atlantis"
"","","Highly Negative","Slightly Negative","Idle","Idle","Slightly Possitive","Moderately Possitive","Highly Possitive","Moderately Negative","Moderately Negative"
"","","","","","","","","","","00:00:06.7716916"
"","","","","","","","","","","00:00:00.7823508"
"","","","","","","","","","00:00:00.7605801",""
"","","","","","","","","00:00:01.1799322","",""
"","","","","","00:00:00.5589939","","","","",""
"","","","","","","00:00:00.6509759","","","",""
"","","","","","","","00:00:00.9605045","","",""
"","","","","00:00:00.7308592","","","","","",""
"","","","00:00:00.6475163","","","","","","",""
"","","00:00:00.6805246","","","","","","","",""
"","","","","","00:00:00.0724452","","","","",""
"","","","","","","","","00:00:01.7879297","",""
"29","What is the colour of the flag of Libya?","Green","Pink","Purple","Red","Orange","Black","White","Yellow","Blue"
"","","Highly Possitive","Moderately Negative","Moderately Possitive","Highly Negative","Slightly Negative","Idle","Moderately Negative","Idle","Slightly Possitive"
"","","","","","","","","00:00:03.4599446","",""
"","","","","","00:00:00.0234236","","","","",""
"","","00:00:01.8255715","","","","","","","",""
"30","The ulna is a long bone in which part of the body?","Pelvis","Leg","Ear","Neck","Hand","Foot","Face","Chest","Arm"
"","","Idle","Moderately Possitive","Slightly Possitive","Moderately Negative","Highly Possitive","Highly Negative","Moderately Negative","Idle","Slightly Negative"
"","","00:00:03.4177742","","","","","","","",""
"","","","00:00:01.3096543","","","","","","",""
"","","00:00:02.3837106","","","","","","","",""
"","","","","","00:00:01.0683648","","","","",""
"","","","","","","","","00:00:00.9243437","",""
"","","","","","","","","","00:00:00.7923453",""
"","","","","","","","","","","00:00:01.0226719"
"","","","","","","","00:00:00.9552776","","",""
"","","","","","","00:00:01.7274110","","","",""
"","","","","00:00:02.8310111","","","","","",""
"","","","","","","","00:00:00.0754291","","",""
"","","","","","","00:00:00.8468017","","","",""
"31","Which musical family does the saxophone belong to?","Folk","Brass","Strings","Classic","Woodwind","Keyboard","Jazz","Blues","Percussion"
"","","Moderately Possitive","Moderately Negative","Slightly Possitive","Idle","Slightly Negative","Highly Possitive","Idle","Highly Negative","Moderately Negative"
"","","","00:00:03.0878204","","","","","","",""
"","","00:00:00.8304048","","","","","","","",""
"","","","00:00:00.7543245","","","","","","",""
"","","","","00:00:00.8135506","","","","","",""
"","","","","","","","00:00:01.7373595","","",""
"32","In what country would you find Mount Kilimanjaro?","Colombia","Switzerland","Kazakhistan","South Africa","Kenya","United States","Nepal","Tanzania","Congo"
"","","Highly Negative","Moderately Negative","Idle","Slightly Possitive","Idle","Slightly Negative","Moderately Negative","Highly Possitive","Moderately Possitive"
"","","","","","","","00:00:06.5035772","","",""
"","","","00:00:00.0454426","","","","","","",""
"","","00:00:00.2508471","","","","","","","",""
"","","","","","00:00:00.7446087","","","","",""
"","","","","","","","","00:00:00.6648867","",""
"","","","","","","00:00:00.8251364","","","",""
"","","","","","","","","","00:00:00.7744972",""
"","","","","","","","","","","00:00:01.2168193"
"","","","","","","","","","00:00:00.0209024",""
"","","","","","","00:00:00.8959587","","","",""
"","","","","","","","","","00:00:00.7817268",""
"33","Old Trafford stadium is located near what major city?","London","Glasgow","Liverpool","Trafford","Nottingham","Southampton","Manchester","Newcastle","Edinburgh"
"","","Highly Negative","Slightly Possitive","Idle","Slightly Negative","Idle","Moderately Possitive","Highly Possitive","Moderately Negative","Moderately Negative"
"","","","00:00:06.2235237","","","","","","",""
"","","","","","","","","00:00:00.4281755","",""
"34","Yellow Egg is a variety of which fruit?","Plum","Lemon","Apricot","Mango","Pear","Pineapple","Carambola","Melon","Korean Melon"
"","","Highly Possitive","Moderately Negative","Highly Negative","Idle","Moderately Possitive","Idle","Slightly Possitive","Moderately Negative","Slightly Negative"
"","","","","","00:00:05.8408449","","","","",""
"","","","00:00:00.6058190","","","","","","",""
"","","","","00:00:00.4022534","","","","","",""
"","","","","","","","00:00:00.7644522","","",""
"","","","","","","00:00:01.0485981","","","",""
"","","","","","00:00:01.1726122","","","","",""
"","","","","","","","","00:00:00.0685884","",""
"","","","","","","","","00:00:00.5200156","",""
"","","","","","","","","","00:00:00.5147382",""
"","","","","","","","","","","00:00:00.9627136"
"","","","","","","","","","00:00:00.0896293",""
"","","","","","","00:00:00.0219006","","","",""
"","","00:00:01.2848545","","","","","","","",""
"35","Hypophosphatasia affects what part of the body?","Muscles","Bones","Eyes","Kidney","Liver","Lungs","Nerves","Brain","Blood"
"","","Highly Negative","Highly Possitive","Moderately Possitive","Slightly Negative","Moderately Negative","Idle","Slightly Possitive","Moderately Negative","Idle"
"","","00:00:02.8679109","","","","","","","",""
"","","00:00:00.0716786","","","","","","","",""
"","","00:00:03.0981941","","","","","","","",""
"","","","00:00:00.8556739","","","","","","",""
"","","","","00:00:00.6185601","","","","","",""
"","","","","","","","00:00:00.8348181","","",""
"","","","","","","00:00:00.6429239","","","",""
"","","","","","00:00:00.7413365","","","","",""
"","","","","","","","","00:00:00.7780427","",""
"","","","","","","","","","00:00:00.6625746",""
"","","","","","","","","","","00:00:00.0929086"
"","","","","","","","","","","00:00:00.7599511"
"","","","","","","00:00:00.7365738","","","",""
"","","","00:00:01.2591199","","","","","","",""
"36","Who directed the 2001 re-make of the film Oceans 11?","Steven Soderbergh","Quentin Tarantino","Tony Gilroy","James Cameron","Tom Hanks","Martin Scorsese","Robert Rodriguez","Woody Allen","Wolfgang Petersen"
"","","Highly Possitive","Moderately Negative","Highly Negative","Moderately Negative","Idle","Moderately Possitive","Slightly Negative","Idle","Slightly Possitive"
"","","","00:00:02.8783440","","","","","","",""
"","","00:00:00.0224357","","","","","","","",""
"","","00:00:00.9793927","","","","","","","",""
"","","","00:00:00.7075968","","","","","","",""
"","","","","00:00:00.4436511","","","","","",""
"","","","","","","","00:00:01.2789980","","",""
"","","","","","","00:00:00.8001247","","","",""
"","","","","","00:00:00.6475664","","","","",""
"","","","","","","","","00:00:01.1866919","",""
"","","","","","","","","","00:00:00.0223348",""
"","","","","","","","","","00:00:00.9541782",""
"","","","","","","","","","","00:00:01.1183190"
"","","","","","","","","","00:00:00.0444393",""
"","","00:00:01.1383371","","","","","","","",""
